Date,Time,Main_Temp_F,Main_Humidity_pct,Basement_Temp_F,Basement_Humidity_pct,BedroomAqara_Temp_F,BedroomAqara_Humidity_pct,BedroomHomePod_Temp_F,BedroomHomePod_Humidity_pct,Crawlspace_Temp_F,Crawlspace_Humidity_pct
2026-07-24,18:02,69.26°F,54,74.66°F,49,74.84°F,51,69.44°F,56,73.58°F,70,33.8°F
2026-07-24,19:00,69.26°F,54,75.38°F,48,75.02°F,51,72.5°F,55,73.58°F,63,42.44°F
2026-07-24,21:00,70.52°F,54,75.02°F,47,73.58°F,50,69.98°F,52,73.22°F,60,32.9°F
2026-07-24,23:01,70.34°F,52,74.66°F,46,74.12°F,53,71.24°F,55,73.04°F,58,41.9°F
2026-07-25,00:58,72.32°F,52,75.56°F,45,74.3°F,52,72.5°F,53,73.04°F,65,36.14°F
2026-07-25,06:00,72.14°F,52,75.2°F,45,74.66°F,54,73.04°F,55,72.86°F,75,35.42°F
2026-07-25,09:00,68.9°F,52,74.12°F,46,73.58°F,47,69.44°F,53,71.96°F,73,44.6°F
2026-07-25,13:30,69.62°F,52,73.58°F,50,72.68°F,47,69.8°F,50,73.22°F,68,41.9°F
2026-07-25,17:14,70.34°F,52,73.94°F,48,74.84°F,50,71.78°F,51,74.3°F,60,34.88°F
2026-07-25,18:02,70.34°F,52,73.94°F,48,73.94°F,46,69.8°F,47,75.2°F,67,39.56°F
2026-07-25,19:00,69.08°F,52,74.84°F,47,74.12°F,45,69.8°F,50,74.84°F,60,37.22°F
2026-07-25,21:00,68.9°F,52,76.1°F,46,75.38°F,49,69.98°F,52,75.2°F,60,35.78°F
2026-07-25,23:01,71.42°F,52,76.28°F,45,74.84°F,48,71.78°F,50,74.84°F,66,39.02°F
2026-07-26,00:58,71.42°F,52,75.92°F,44,74.84°F,47,72.5°F,48,74.48°F,58,41.54°F
2026-07-26,06:00,71.24°F,52,75.56°F,45,74.12°F,50,72.32°F,49,72.86°F,71,37.22°F
2026-07-26,06:11,71.24°F,52,75.56°F,45,74.12°F,50,72.32°F,50,72.68°F,71,37.4°F
2026-07-26,09:00,71.78°F,52,73.76°F,46,74.66°F,51,69.44°F,53,70.88°F,69,35.42°F
2026-07-26,13:30,67.82°F,52,73.94°F,45,73.58°F,50,71.6°F,53,72.5°F,64,41.54°F
2026-07-26,17:00,67.46°F,54,77.18°F,45,73.22°F,49,71.78°F,49,73.76°F,64,38.66°F
